sensor_id,nombre,municipio,lat,lon,PM2.5,calidad_aire
143390,Estación de Monitoreo de Calidad del Aire Comité Municipal PAN Abasolo,Abasolo,25.947264,-100.399025,21.0,Buena
50571,Estación de Monitoreo de Calidad del Aire Comité Municipal PAN Allende,Allende,25.215078,-99.9597,12.0,Buena
132661,La Gozacion,Allende,25.317438,-100.04217,15.0,Buena
143346,Estación de Monitoreo de Calidad del Aire Comité Municipal PAN Allende,Allende,25.282354,-100.0235,20.0,Buena
144262,Estación de Monitoreo de Calidad del Aire Comité Municipal PAN Cadereyta,Cadereyta Jimenez,25.595556,-99.99982,20.0,Buena
133828,Estación de Monitoreo de Calidad del Aire Comité Municipal PAN Cienega de Flores,Cienega de Flores,25.953587,-100.1621,10.0,Buena
144252,Estación de Monitoreo de Calidad del Aire Comité Municipal PAN El Carmen,El Carmen,25.936792,-100.36464,25.0,Buena
93861,Sima García,Garcia,25.80041,-100.584984,32.0,Aceptable
144254,Estación de Monitoreo de Calidad del Aire Comité Municipal PAN Guadalupe,Guadalupe,25.678474,-100.26586,11.0,Buena
93927,Sima Juárez,Juárez,25.646189,-100.09566,22.0,Buena
33027,Lagos del Bosque,Monterrey,25.600061,-100.26256,18.0,Buena
34679,Mision Canterias,Monterrey,25.574842,-100.23844,44.0,Aceptable
34905,Colegio Tonallí,Monterrey,25.564653,-100.24257,20.0,Buena
36721,San Roberto International School Campus Valle Alto,Monterrey,25.575867,-100.257454,22.0,Buena
38663,Rayon Norte,Monterrey,25.678823,-100.319695,22.0,Buena
42211,RF,Monterrey,25.61638,-100.316124,18.0,Buena
43627,Liceo Los Rosales,Monterrey,25.673807,-100.354004,26.0,Aceptable
50727,DocAire,Monterrey,25.578176,-100.23342,16.0,Buena
50871,TEC Garza Laguera,Monterrey,25.61827,-100.27293,23.0,Buena
50875,TEC Obispado,Monterrey,25.67584,-100.338646,27.0,Aceptable
56405,Sierra Alta (Rincón de la Virgen),Monterrey,25.569397,-100.28121,18.0,Buena
104804,GIECC_UCMEXUS_15,Monterrey,25.652023,-100.291145,31.0,Aceptable
105602,GIECC_UCMEXUS_07,Monterrey,25.650698,-100.29097,46.0,Mala
115335,GIECC_UCMEXUS_22,Monterrey,25.653612,-100.292534,26.0,Aceptable
115885,GIECC_UCMEXUS_24,Monterrey,25.65361,-100.29269,28.0,Aceptable
116099,GIECC_UCMEXUS_16,Monterrey,25.653578,-100.29269,41.0,Aceptable
121719,GrupoReforma La Silla,Monterrey,25.637156,-100.273186,21.0,Buena
136522, Bosques de La Pastora,Monterrey,25.65773,-100.251625,18.0,Buena
142670,Estación de Monitoreo de Calidad del Aire Comité Estatal PAN,Monterrey,25.680895,-100.310295,23.0,Buena
119965,Grupo Reforma El Norte,Monterrey,25.674164,-100.30816,20.0,Buena
144260,Estación de Monitoreo de Calidad del Aire Comité Municipal PAN Salinas Victoria,Salinas Victoria,25.961023,-100.29405,5.0,Buena
33117,Liceo de Monterrey,San Pedro Garza Garcia,25.650322,-100.32849,24.0,Buena
34499,San Patricio #106,San Pedro Garza Garcia,25.641743,-100.3472,0.0,Buena
34511,Rosario,San Pedro Garza Garcia,25.640432,-100.392265,24.0,Buena
34569,Himalaya International School,San Pedro Garza Garcia,25.651388,-100.41089,20.0,Buena
34641,UDEM_Campus_Solar,San Pedro Garza Garcia,25.662136,-100.4208,23.0,Buena
34969,Irish Monterrey,San Pedro Garza Garcia,25.6471,-100.33811,18.0,Buena
